sequence;date;expirationDate;supplier;documentNumber;netAmount;vatAmount;totalAmount;outstandingAmount
20140017;28/01/2014;27/02/2014;euphony;8461450114;30,2;6,34;36,54;0
20140016;30/01/2014;28/02/2014;wtcb;;338,87;0;338,87;0
20140014;31/01/2014;2/03/2014;De Cleene Technics;214.10.000540;13,91;2,92;16,83;0
20140013;4/02/2014;6/03/2014;confederatie bouw vzw;;483,39;0;483,39;0
20140007;31/01/2014;31/01/2014;Vangroenweghe;227;878,38;184,46;1062,84;0
20140005;18/01/2014;17/02/2014;compu-trade bvba;14010256;39,59;8,31;47,9;0
20140004;9/01/2014;8/02/2014;vdab;BOU14000000090;704;0;704;0
20140001;5/01/2014;5/01/2014;base company nv;3757106014;72,89;15,31;88,2;0
20130360;10/01/2014;9/02/2014;sita waste services nv;1584144548;107,1;22,49;129,59;0
20130357;18/12/2013;18/12/2013;ip nexia;;-12;-2,52;-14,52;0
20130353;27/12/2013;27/12/2013;kbc verzekeringen;;-439,14;0;-439,14;0
20130351;23/12/2013;22/01/2014;mensura vzw;;38,52;0;38,52;0
20130350;11/12/2013;11/12/2013;mensura vzw;;100;0;100;0
20130349;27/12/2013;27/12/2013;euphony;;29,03;6,09;35,12;0
20130346;17/12/2013;30/12/2013;C&J Credit Services bvba;;143,24;30,08;173,32;0
20130345;18/12/2013;18/12/2013;Thema nv;;107,75;22,63;130,38;0
20130344;17/12/2013;17/12/2013;ISIB vzw;;157,58;33,09;190,67;0
20130343;1/12/2013;1/01/2014;kbc verzekeringen;;1229,8;0;1229,8;0
20130342;1/12/2013;1/01/2014;kbc verzekeringen;;1065,95;0;1065,95;0
20130336;6/12/2013;5/01/2014;kbc verzekeringen;;166,94;0;166,94;0
20130335;6/12/2013;17/01/2014;kbc verzekeringen;;172,54;0;172,54;0
20130333;11/12/2013;10/01/2014;lecot;;1976,23;415,01;2391,24;0
20130332;4/12/2013;14/12/2013;ip nexia;;12;2,52;14,52;0
20130330;3/12/2013;10/12/2013;lambrechts verhuur bvba;;163,9;34,42;198,32;0
20130329;9/12/2013;8/01/2014;lecot;;192,65;40,46;233,11;0
20130328;30/11/2013;15/12/2013;sita waste services nv;;15,3;3,21;18,51;0
20130327;4/12/2013;22/12/2013;eni gas & power nv;;117,43;24,66;142,09;0
20130326;5/12/2013;5/12/2013;base company nv;;57,71;12,09;69,8;0
20130324;2/12/2013;2/12/2013;kbc verzekeringen;;207,91;0;207,91;0
20130323;2/12/2013;2/12/2013;kbc verzekeringen;;351,67;0;351,67;0
20130315;27/11/2013;27/12/2013;euphony;;37,31;7,83;45,14;0
20130312;22/11/2013;7/12/2013;Thomas toyota;13821;82,09;17,24;99,33;0
20130310;21/11/2013;21/11/2013;kbc verzekeringen;;-205,39;0;-205,39;0
20130309;26/11/2013;21/12/2013;sip-well nv;f13207024;78,16;7,55;85,71;0
20130307;22/10/2013;22/10/2013;A.A.D.B.;1/FAC 20130101/0104;450;94,5;544,5;0
20130306;19/11/2013;4/12/2013;kbc verzekeringen;;340,43;0;340,43;0
20130305;20/11/2013;5/12/2013;Thomas toyota;13810;1592;334,32;1926,32;0
20130304;20/11/2013;20/11/2013;Thomas toyota;13001;-97,78;-20,53;-118,31;0
